Match_ID,Innings,Batting_Team,Bowling_Team,Venue,Match_Format,Batsman_Name,Bowler_Name,Runs_Scored,Balls_Faced,Fours,Sixes,Strike_Rate,Wickets_Taken,Overs_Bowled,Runs_Conceded,Dismissal_Type,Match_Date,Player_Role
93282,2,Australia,New Zealand,Melbourne,ODI,Smith,Starc,134,8,1,2,NA,0,5.912401873223555,73,Stumped,2021-05-10,Unknown
45286,1,Sri Lanka,Sri Lanka,Kolkata,ODI,Nabi,Rabada,179,116,20,0,123.3332974019075,5,-,58,Run Out,Unknown,Batsman
20530,2,Afghanistan,England,Melbourne,T20,Warner,Joseph,133,78,14,0,123.3332974019075,1,5.912401873223555,45,Unknown,2021-05-10,All-Rounder
14580,2,Bangladesh,Australia,Auckland,Test,Kohli,Rashid,108,46,12,9,123.3332974019075,-1,NA,26,LBW,2021-05-10,All-Rounder
55929,1,New Zealand,South Africa,Kolkata,Test,Smith,Bumrah,2,58,12,14,---,1,-,41,Caught,Unknown,All-Rounder
92595,2,New Zealand,Afghanistan,Delhi,Test,Smith,Malinga,96,9,22,6,NA,0,5.912401873223555,54,Unknown,Unknown,All-Rounder
17897,1,Sri Lanka,Sri Lanka,Melbourne,Test,Kohli,Woakes,1,129,14,7,NA,5,-,60,Unknown,,All-Rounder
67990,1,England,Australia,Chennai,ODI,Kohli,Woakes,63,41,11,9,NA,5,5.912401873223555,76,Unknown,2020-01-01,All-Rounder
71060,1,Afghanistan,New Zealand,Chennai,Test,Warner,Malinga,-1,102,1,2,NA,-1,-,26,Unknown,,Batsman
90598,2,Australia,West Indies,Sydney,ODI,Kohli,Malinga,41,105,0,0,---,-1,5.912401873223555,81,Run Out,,Batsman
20211,2,Pakistan,Bangladesh,London,ODI,Smith,Joseph,101,134,1,0,---,0,NA,90,Unknown,Unknown,Unknown
16990,2,Australia,South Africa,Chennai,Test,Smith,Malinga,86,128,20,12,---,1,5.912401873223555,-5,Hit Wicket,Unknown,Bowler
35680,1,Sri Lanka,South Africa,Chennai,Test,Nabi,Bumrah,156,136,11,6,---,5,-,32,Not Out,2020-01-01,Unknown
34175,2,West Indies,Pakistan,Chennai,Test,Russell,Rashid,94,25,13,8,123.3332974019075,-1,-,80,LBW,2021-05-10,All-Rounder
91018,2,Sri Lanka,South Africa,Unknown,ODI,Babar,Shami,98,123,14,4,123.3332974019075,5,-,-3,Unknown,2020-01-01,Bowler
23211,1,South Africa,South Africa,Chennai,ODI,Root,Malinga,158,56,5,0,---,5,-,45,Caught,2020-01-01,All-Rounder
94860,1,England,Afghanistan,Johannesburg,T20,Williamson,Afridi,145,21,9,11,NA,5,5.912401873223555,45,Not Out,,Unknown
37358,1,India,Sri Lanka,Mumbai,T20,Williamson,Woakes,134,86,7,10,123.3332974019075,0,5.912401873223555,87,Run Out,2020-01-01,Batsman
34191,1,India,Australia,Melbourne,T20,Smith,Shami,-9,2,13,1,123.3332974019075,-1,-,26,Stumped,,All-Rounder
79965,1,England,South Africa,Mumbai,ODI,Smith,Shami,66,138,24,3,---,4,-,94,Stumped,,All-Rounder
94041,1,Pakistan,Australia,Sydney,ODI,Root,Rabada,74,55,4,12,123.3332974019075,4,-,15,LBW,Unknown,Unknown
50385,2,South Africa,South Africa,Sydney,Test,Rohit,Shami,67,123,19,8,123.3332974019075,0,NA,58,Bowled,2021-05-10,Unknown
35312,1,West Indies,Bangladesh,Johannesburg,T20,Rohit,Afridi,94,85,17,6,NA,1,NA,9,Caught,Unknown,Batsman
79717,1,Australia,South Africa,Delhi,T20,Nabi,Joseph,4,143,12,2,123.3332974019075,2,5.912401873223555,57,LBW,Unknown,Batsman
96849,2,Pakistan,England,Melbourne,ODI,Williamson,Woakes,23,97,10,13,NA,6,NA,8,LBW,,Unknown
19919,1,England,South Africa,Delhi,Test,Smith,Rabada,154,119,13,8,123.3332974019075,4,NA,58,Bowled,Unknown,Batsman
88598,2,Bangladesh,Afghanistan,Melbourne,T20,Babar,Woakes,165,4,24,14,NA,2,5.912401873223555,26,Unknown,Unknown,Unknown
61699,1,India,India,Kolkata,T20,Rohit,Malinga,130,52,2,14,123.3332974019075,0,5.912401873223555,54,LBW,2021-05-10,Batsman
36536,2,India,Afghanistan,Delhi,T20,Kohli,Southee,159,71,0,2,---,1,5.912401873223555,95,Unknown,,All-Rounder
50364,2,West Indies,Australia,Johannesburg,T20,Warner,Bumrah,-4,65,8,1,123.3332974019075,1,-,-1,Unknown,Unknown,All-Rounder
79149,2,India,India,Chennai,Test,Root,Rashid,24,138,17,14,---,2,-,-3,Run Out,,Unknown
95925,2,Pakistan,India,Auckland,ODI,Warner,Rashid,50,114,7,9,NA,6,5.912401873223555,39,Run Out,2021-05-10,All-Rounder
14262,2,Bangladesh,India,Kolkata,ODI,Babar,Shami,104,104,19,10,123.3332974019075,-1,NA,45,Unknown,2021-05-10,Bowler
44450,1,Pakistan,New Zealand,Johannesburg,Test,Babar,Rashid,172,44,23,5,NA,5,5.912401873223555,0,Stumped,Unknown,Batsman
55486,2,South Africa,Sri Lanka,Auckland,T20,Smith,Southee,74,104,8,7,---,1,NA,-6,Bowled,2020-01-01,Batsman
71477,2,Australia,South Africa,Mumbai,T20,Babar,Joseph,94,114,18,7,NA,2,-,43,Not Out,2020-01-01,All-Rounder
40308,2,West Indies,Pakistan,Sydney,T20,Nabi,Rashid,73,111,20,8,123.3332974019075,4,-,70,Unknown,,All-Rounder
23257,1,Afghanistan,Pakistan,Chennai,Test,Faf,Rashid,136,86,7,14,NA,-1,5.912401873223555,13,Hit Wicket,Unknown,All-Rounder
84318,1,West Indies,Sri Lanka,Chennai,ODI,Rohit,Bumrah,138,64,23,4,NA,1,NA,97,Stumped,2020-01-01,Batsman
78548,1,England,Pakistan,Auckland,ODI,Babar,Rabada,178,73,3,5,---,3,5.912401873223555,95,Unknown,2021-05-10,Batsman
70145,1,Bangladesh,South Africa,Auckland,T20,Williamson,Rashid,7,133,17,14,NA,4,5.912401873223555,97,Unknown,,All-Rounder
44282,1,West Indies,New Zealand,London,ODI,Russell,Starc,9,66,5,11,NA,-1,-,39,Run Out,2021-05-10,Bowler
38514,1,England,South Africa,London,Test,Root,Afridi,90,28,21,13,---,6,NA,-5,Unknown,Unknown,Batsman
27155,2,India,Sri Lanka,Auckland,Test,Faf,Southee,51,78,22,4,---,6,5.912401873223555,79,Run Out,Unknown,Bowler
75408,1,Australia,New Zealand,Kolkata,Test,Smith,Shami,20,86,4,1,123.3332974019075,2,5.912401873223555,56,Not Out,2021-05-10,Batsman
82144,1,Bangladesh,New Zealand,Kolkata,Test,Babar,Woakes,10,48,16,7,NA,1,-,32,Stumped,2021-05-10,All-Rounder
64868,2,India,New Zealand,Mumbai,T20,Faf,Rashid,37,7,0,9,NA,5,NA,70,LBW,2020-01-01,All-Rounder
36005,2,Sri Lanka,England,Chennai,T20,Smith,Bumrah,69,88,15,8,123.3332974019075,4,-,25,Stumped,Unknown,Unknown
21451,1,Australia,New Zealand,London,ODI,Warner,Woakes,-4,101,16,11,---,2,NA,44,Caught,,Unknown
45875,2,England,West Indies,Melbourne,Test,Kohli,Starc,30,51,19,10,---,6,-,-3,Stumped,Unknown,Bowler
98933,1,Pakistan,Australia,Sydney,ODI,Smith,Starc,93,125,22,7,NA,2,-,-2,Run Out,2020-01-01,Unknown
95896,1,England,England,Chennai,Test,Russell,Bumrah,96,11,13,7,NA,6,NA,44,Run Out,2020-01-01,Unknown
78973,2,Pakistan,England,Sydney,ODI,Root,Woakes,21,128,7,9,123.3332974019075,3,5.912401873223555,33,Hit Wicket,2020-01-01,Batsman
24838,1,South Africa,England,Unknown,ODI,Babar,Woakes,-4,3,0,5,---,4,NA,76,Unknown,2021-05-10,Batsman
88700,2,New Zealand,New Zealand,London,Test,Root,Malinga,29,102,20,14,NA,3,5.912401873223555,73,Unknown,Unknown,Bowler
49885,1,South Africa,Australia,London,ODI,Rohit,Southee,65,119,4,14,---,5,NA,90,Hit Wicket,,All-Rounder
51049,1,West Indies,West Indies,Unknown,ODI,Williamson,Woakes,169,104,6,8,---,5,NA,4,Run Out,,Batsman
36243,1,Afghanistan,South Africa,Melbourne,ODI,Rohit,Bumrah,106,96,0,13,NA,1,5.912401873223555,3,Caught,2020-01-01,Bowler
45122,2,West Indies,England,Mumbai,Test,Williamson,Malinga,106,12,7,12,---,-1,5.912401873223555,11,Bowled,2021-05-10,Unknown
32438,1,New Zealand,Bangladesh,Mumbai,T20,Nabi,Rashid,47,146,3,13,---,2,NA,96,LBW,2021-05-10,Unknown
18297,2,New Zealand,Sri Lanka,Mumbai,ODI,Williamson,Bumrah,-10,19,13,10,---,6,NA,96,Stumped,2020-01-01,All-Rounder
67011,1,West Indies,South Africa,London,ODI,Faf,Rabada,173,116,10,14,---,3,NA,4,Unknown,Unknown,All-Rounder
94170,1,Sri Lanka,New Zealand,London,ODI,Warner,Rashid,23,67,23,11,123.3332974019075,2,-,97,LBW,,All-Rounder
31814,2,New Zealand,India,London,Test,Rohit,Starc,43,117,23,1,123.3332974019075,6,5.912401873223555,90,Caught,Unknown,All-Rounder
28027,2,West Indies,New Zealand,Chennai,T20,Russell,Rabada,-2,22,12,6,123.3332974019075,6,5.912401873223555,37,Stumped,,Batsman
64302,2,Sri Lanka,Afghanistan,Johannesburg,Test,Russell,Southee,177,126,17,13,NA,4,5.912401873223555,1,Bowled,2021-05-10,Batsman
53911,2,Bangladesh,Bangladesh,Unknown,Test,Babar,Shami,10,138,3,14,NA,2,-,74,Not Out,2020-01-01,Bowler
22143,1,Afghanistan,Afghanistan,Delhi,Test,Faf,Starc,72,30,18,5,---,5,5.912401873223555,93,Run Out,2020-01-01,Unknown
89502,2,South Africa,New Zealand,Johannesburg,Test,Warner,Afridi,84,40,17,14,123.3332974019075,3,5.912401873223555,61,Run Out,Unknown,Unknown
58192,2,Bangladesh,Pakistan,Auckland,Test,Rohit,Bumrah,150,56,12,3,---,4,NA,11,Not Out,Unknown,Batsman
72190,2,Afghanistan,India,Kolkata,Test,Williamson,Rashid,145,29,3,10,NA,6,NA,36,Unknown,,Bowler
59929,2,India,West Indies,Unknown,T20,Babar,Starc,167,107,13,9,123.3332974019075,0,5.912401873223555,93,Unknown,2020-01-01,Bowler
20839,2,Sri Lanka,South Africa,Unknown,Test,Russell,Afridi,107,95,3,10,NA,5,NA,-4,Caught,2021-05-10,Batsman
90206,1,Australia,India,Kolkata,Test,Warner,Afridi,10,99,14,9,NA,3,-,91,Hit Wicket,2021-05-10,Unknown
67200,2,England,England,Mumbai,T20,Root,Bumrah,172,81,11,2,123.3332974019075,5,5.912401873223555,42,Hit Wicket,,All-Rounder
29631,1,Bangladesh,Afghanistan,Auckland,T20,Williamson,Joseph,27,135,20,6,123.3332974019075,3,-,-7,Unknown,Unknown,All-Rounder
92389,2,England,Bangladesh,London,T20,Kohli,Bumrah,120,61,19,5,123.3332974019075,5,5.912401873223555,46,Stumped,,Batsman
47911,1,Afghanistan,West Indies,Chennai,Test,Nabi,Bumrah,128,120,6,5,---,6,-,-5,Hit Wicket,Unknown,Batsman
15065,1,Sri Lanka,New Zealand,Auckland,T20,Kohli,Woakes,92,133,0,0,NA,2,NA,40,Caught,2020-01-01,All-Rounder
52646,2,New Zealand,Australia,Mumbai,Test,Rohit,Afridi,99,63,16,8,---,4,5.912401873223555,19,Run Out,2020-01-01,Batsman
19540,2,England,New Zealand,Auckland,Test,Root,Woakes,42,46,13,6,---,-1,5.912401873223555,-10,Bowled,Unknown,Bowler
86576,2,England,South Africa,Melbourne,ODI,Warner,Joseph,24,70,2,12,123.3332974019075,2,-,77,Hit Wicket,2021-05-10,Batsman
48947,2,West Indies,Sri Lanka,Johannesburg,Test,Williamson,Shami,74,79,5,10,---,2,NA,21,Stumped,2021-05-10,Bowler
94199,1,South Africa,West Indies,Auckland,ODI,Williamson,Southee,148,65,5,4,NA,3,-,75,LBW,2021-05-10,All-Rounder
76881,1,Sri Lanka,Afghanistan,Johannesburg,ODI,Faf,Shami,-3,42,20,0,NA,2,NA,45,Bowled,Unknown,Batsman
94907,2,Australia,Afghanistan,Sydney,T20,Root,Afridi,149,56,5,9,123.3332974019075,2,-,66,Bowled,2021-05-10,Unknown
86990,1,Afghanistan,New Zealand,Melbourne,ODI,Warner,Woakes,12,88,21,10,NA,-1,-,33,Caught,Unknown,All-Rounder
11196,2,Sri Lanka,South Africa,Melbourne,ODI,Faf,Starc,90,89,13,1,NA,0,NA,26,Caught,2021-05-10,Batsman
73460,2,Bangladesh,England,Kolkata,ODI,Kohli,Joseph,-8,89,24,1,123.3332974019075,0,5.912401873223555,17,LBW,Unknown,Batsman
40328,2,Pakistan,England,Kolkata,Test,Faf,Bumrah,127,119,12,4,NA,5,5.912401873223555,-8,Stumped,2020-01-01,All-Rounder
71303,1,India,South Africa,Chennai,T20,Nabi,Rashid,46,17,0,5,123.3332974019075,0,5.912401873223555,59,Run Out,,Unknown
32193,1,Afghanistan,Pakistan,Delhi,T20,Smith,Malinga,140,147,7,12,---,0,5.912401873223555,-9,Run Out,2021-05-10,Bowler
52818,1,Pakistan,Australia,Kolkata,T20,Kohli,Malinga,156,125,5,8,NA,2,NA,24,Hit Wicket,,Bowler
53862,2,South Africa,Australia,Auckland,Test,Kohli,Bumrah,112,56,21,7,123.3332974019075,1,5.912401873223555,10,Caught,2021-05-10,Batsman
41460,2,South Africa,England,Melbourne,T20,Rohit,Joseph,32,99,12,6,NA,6,5.912401873223555,74,Unknown,2020-01-01,Bowler
20368,1,Australia,Bangladesh,Johannesburg,Test,Faf,Starc,157,103,5,14,NA,4,-,36,Run Out,2021-05-10,Bowler
75265,1,Bangladesh,South Africa,Unknown,T20,Warner,Rabada,27,128,22,14,123.3332974019075,1,NA,20,Hit Wicket,2020-01-01,Bowler
13910,1,Australia,South Africa,Kolkata,T20,Rohit,Malinga,166,73,6,9,123.3332974019075,2,-,3,Hit Wicket,2020-01-01,Bowler
92935,1,India,South Africa,Melbourne,T20,Babar,Woakes,161,107,20,6,NA,2,NA,-3,Bowled,Unknown,Unknown
57042,2,South Africa,Australia,Johannesburg,ODI,Russell,Joseph,-7,94,22,3,123.3332974019075,6,5.912401873223555,81,Hit Wicket,Unknown,Unknown
95074,2,Sri Lanka,New Zealand,Unknown,ODI,Kohli,Afridi,45,7,10,1,---,4,NA,31,Unknown,2020-01-01,Bowler
31341,2,Bangladesh,India,Kolkata,Test,Root,Woakes,0,47,17,14,---,0,5.912401873223555,21,Bowled,Unknown,Unknown
84888,2,Pakistan,Pakistan,Johannesburg,ODI,Kohli,Afridi,128,116,2,0,123.3332974019075,2,NA,5,Stumped,2020-01-01,Bowler
25970,1,India,Bangladesh,Kolkata,Test,Faf,Joseph,176,70,17,7,---,6,5.912401873223555,98,Unknown,Unknown,Bowler
26546,2,South Africa,West Indies,Chennai,Test,Warner,Southee,165,39,24,3,---,3,NA,26,Hit Wicket,Unknown,Unknown
40860,2,England,New Zealand,Kolkata,ODI,Russell,Rashid,136,83,16,9,123.3332974019075,-1,NA,84,Stumped,2021-05-10,Batsman
31145,1,India,Afghanistan,Sydney,ODI,Faf,Afridi,-7,2,4,10,---,-1,5.912401873223555,27,Hit Wicket,2021-05-10,Bowler
47042,2,Sri Lanka,New Zealand,London,T20,Smith,Bumrah,20,10,12,14,---,4,5.912401873223555,0,Hit Wicket,2021-05-10,All-Rounder
45992,1,West Indies,Pakistan,Chennai,T20,Rohit,Malinga,98,57,20,1,NA,6,NA,99,Unknown,,Batsman
83510,2,West Indies,Sri Lanka,Delhi,Test,Russell,Rabada,25,120,0,12,---,3,-,-10,Bowled,Unknown,Bowler
22746,1,Pakistan,South Africa,Unknown,T20,Rohit,Rashid,40,105,0,5,---,5,NA,54,Stumped,,Bowler
81133,2,Bangladesh,India,London,T20,Rohit,Joseph,39,105,5,2,123.3332974019075,-1,NA,42,Run Out,,Bowler
41284,1,India,West Indies,Melbourne,Test,Warner,Joseph,44,45,12,14,NA,5,-,92,Hit Wicket,,Bowler
97613,2,Pakistan,Bangladesh,Delhi,Test,Faf,Southee,120,11,2,14,NA,6,NA,43,LBW,2021-05-10,All-Rounder
24440,1,Pakistan,Afghanistan,Kolkata,ODI,Rohit,Shami,-1,105,23,12,123.3332974019075,5,-,16,Bowled,2021-05-10,Bowler
55022,1,Australia,India,Chennai,Test,Babar,Woakes,96,7,16,14,NA,1,NA,6,Caught,,All-Rounder
76759,1,Bangladesh,India,Unknown,Test,Nabi,Joseph,72,142,13,1,---,5,-,68,Not Out,Unknown,Bowler
94282,1,Bangladesh,West Indies,London,Test,Nabi,Starc,-10,48,18,6,---,0,NA,4,Stumped,2021-05-10,Batsman
71845,2,Sri Lanka,Australia,Mumbai,ODI,Williamson,Malinga,162,45,8,3,---,1,NA,-9,Bowled,2021-05-10,All-Rounder
84405,1,Pakistan,Pakistan,Auckland,ODI,Nabi,Bumrah,88,39,13,12,NA,1,5.912401873223555,3,LBW,Unknown,Batsman
16871,2,South Africa,India,Kolkata,T20,Babar,Malinga,66,19,7,4,123.3332974019075,3,5.912401873223555,77,Caught,2020-01-01,Batsman
53294,2,South Africa,Afghanistan,Sydney,T20,Nabi,Southee,169,129,0,5,123.3332974019075,3,5.912401873223555,27,Hit Wicket,Unknown,Batsman
66112,1,India,England,Melbourne,T20,Root,Rashid,150,5,16,6,NA,5,-,26,Not Out,,Unknown
30403,2,New Zealand,New Zealand,Kolkata,ODI,Babar,Starc,62,127,6,6,NA,0,NA,77,Unknown,2020-01-01,Bowler
29312,2,Sri Lanka,England,Melbourne,ODI,Warner,Shami,87,77,19,3,123.3332974019075,4,5.912401873223555,85,Hit Wicket,2021-05-10,Bowler
75901,1,Pakistan,Pakistan,Auckland,Test,Babar,Woakes,72,88,16,11,---,3,NA,51,Hit Wicket,,Unknown
39912,2,England,West Indies,Unknown,Test,Kohli,Bumrah,132,101,12,7,NA,-1,5.912401873223555,11,Not Out,Unknown,Bowler
44783,2,Bangladesh,England,Auckland,ODI,Faf,Joseph,13,36,18,3,---,-1,-,1,Unknown,Unknown,Batsman
28172,1,Australia,South Africa,Mumbai,Test,Warner,Malinga,90,121,12,3,123.3332974019075,-1,NA,64,Hit Wicket,,Unknown
37353,2,India,Bangladesh,Mumbai,ODI,Kohli,Malinga,51,58,24,7,123.3332974019075,4,NA,82,Run Out,,Bowler
47987,2,Sri Lanka,South Africa,Kolkata,T20,Babar,Malinga,74,63,14,12,123.3332974019075,-1,-,-8,Run Out,Unknown,Bowler
39206,2,England,Sri Lanka,Auckland,T20,Russell,Joseph,22,16,15,8,NA,3,NA,57,Not Out,2021-05-10,Bowler
74493,1,England,Afghanistan,Chennai,T20,Rohit,Starc,84,126,12,5,NA,4,5.912401873223555,8,Not Out,2020-01-01,All-Rounder
90154,1,New Zealand,New Zealand,London,T20,Kohli,Southee,52,65,22,1,123.3332974019075,1,NA,24,Run Out,Unknown,Bowler
46852,1,England,Bangladesh,Delhi,ODI,Root,Bumrah,11,11,22,10,NA,4,-,1,Run Out,Unknown,Bowler
40850,2,West Indies,New Zealand,Melbourne,ODI,Root,Bumrah,144,17,3,11,---,-1,5.912401873223555,63,Hit Wicket,Unknown,All-Rounder
75639,1,Australia,Sri Lanka,Sydney,Test,Kohli,Malinga,108,61,15,9,123.3332974019075,6,NA,-1,Hit Wicket,2020-01-01,All-Rounder
17706,1,India,Bangladesh,Chennai,ODI,Russell,Southee,136,15,13,7,123.3332974019075,6,NA,-1,Caught,2021-05-10,Bowler
45517,1,Sri Lanka,South Africa,Sydney,ODI,Root,Joseph,0,132,17,9,123.3332974019075,6,5.912401873223555,70,LBW,2020-01-01,Batsman
41501,2,Sri Lanka,Bangladesh,Sydney,ODI,Root,Rabada,2,23,19,8,123.3332974019075,0,NA,76,Stumped,2020-01-01,Batsman
97771,2,West Indies,Australia,Auckland,ODI,Smith,Joseph,60,74,24,8,---,2,5.912401873223555,4,Not Out,2020-01-01,All-Rounder
94651,1,South Africa,New Zealand,Johannesburg,T20,Russell,Malinga,13,45,7,7,NA,1,5.912401873223555,2,LBW,2021-05-10,All-Rounder
54007,1,England,New Zealand,Johannesburg,T20,Russell,Bumrah,163,41,21,12,123.3332974019075,-1,NA,4,Caught,Unknown,All-Rounder
65498,2,Afghanistan,Sri Lanka,Chennai,T20,Smith,Malinga,142,87,4,1,123.3332974019075,6,5.912401873223555,-3,Caught,2020-01-01,Batsman
57155,1,Australia,Sri Lanka,Sydney,Test,Williamson,Rashid,100,77,1,12,123.3332974019075,3,5.912401873223555,60,Run Out,,Unknown
22755,1,Bangladesh,Pakistan,Delhi,T20,Rohit,Afridi,168,99,8,4,123.3332974019075,5,-,69,Unknown,,Bowler
21681,2,South Africa,West Indies,Auckland,T20,Root,Joseph,52,128,10,1,NA,1,-,91,Run Out,2021-05-10,Bowler
73484,2,Australia,England,Sydney,ODI,Smith,Joseph,154,89,17,0,NA,-1,-,14,Stumped,2021-05-10,Batsman
43682,2,New Zealand,West Indies,Mumbai,ODI,Kohli,Bumrah,139,25,7,12,---,3,NA,54,LBW,2020-01-01,Bowler
48904,2,Bangladesh,West Indies,Delhi,T20,Russell,Starc,11,67,14,3,---,0,5.912401873223555,49,Hit Wicket,,Unknown
29947,1,England,England,Unknown,Test,Root,Starc,-8,89,20,6,NA,0,5.912401873223555,51,Stumped,Unknown,Batsman
31696,1,India,England,Delhi,T20,Smith,Starc,170,131,2,13,NA,2,5.912401873223555,30,Stumped,2021-05-10,Bowler
36756,2,South Africa,India,Unknown,T20,Warner,Rashid,13,95,21,14,123.3332974019075,6,5.912401873223555,18,Bowled,,Unknown
83912,1,Bangladesh,Sri Lanka,Kolkata,T20,Babar,Rabada,71,143,11,0,NA,6,5.912401873223555,-8,Bowled,2020-01-01,All-Rounder
93093,2,South Africa,Bangladesh,Sydney,ODI,Babar,Malinga,39,100,2,2,NA,6,5.912401873223555,17,Not Out,2020-01-01,All-Rounder
65553,2,England,Sri Lanka,London,Test,Smith,Starc,165,83,4,4,NA,6,NA,76,Bowled,2021-05-10,Batsman
17624,2,Sri Lanka,Sri Lanka,Mumbai,Test,Root,Starc,40,80,18,9,---,5,NA,68,Unknown,Unknown,Batsman
86523,2,Afghanistan,South Africa,Mumbai,ODI,Smith,Rabada,17,95,6,11,123.3332974019075,2,5.912401873223555,39,Not Out,2021-05-10,All-Rounder
76950,2,Sri Lanka,Sri Lanka,Johannesburg,T20,Rohit,Southee,156,127,10,12,---,6,5.912401873223555,21,LBW,2020-01-01,Batsman
43044,2,South Africa,Afghanistan,Sydney,Test,Root,Southee,63,111,19,8,---,2,-,14,Run Out,Unknown,Batsman
87370,1,Australia,Pakistan,Mumbai,Test,Williamson,Malinga,87,10,7,8,123.3332974019075,4,5.912401873223555,9,LBW,2021-05-10,Batsman
38424,2,Afghanistan,India,Mumbai,Test,Root,Afridi,79,61,23,9,---,6,NA,61,Bowled,Unknown,Bowler
38791,2,Bangladesh,Afghanistan,Kolkata,ODI,Rohit,Rabada,89,92,10,6,123.3332974019075,-1,-,11,Hit Wicket,2021-05-10,Batsman
88408,2,Sri Lanka,Pakistan,Johannesburg,ODI,Root,Rabada,137,26,16,6,---,0,5.912401873223555,14,Caught,2020-01-01,Batsman
10250,2,Sri Lanka,Pakistan,Melbourne,T20,Warner,Joseph,153,84,18,9,NA,5,NA,26,Run Out,2021-05-10,All-Rounder
56475,2,Bangladesh,Pakistan,Chennai,ODI,Kohli,Joseph,140,28,16,11,NA,-1,-,-1,Unknown,Unknown,Unknown
23803,2,Bangladesh,New Zealand,Unknown,T20,Williamson,Starc,142,121,5,13,NA,6,-,69,Unknown,Unknown,Bowler
23923,2,Pakistan,India,Kolkata,T20,Warner,Afridi,-3,31,23,2,123.3332974019075,-1,-,56,LBW,Unknown,Bowler
