Match_ID,Innings,Batting_Team,Bowling_Team,Venue,Match_Format,Batsman_Name,Bowler_Name,Runs_Scored,Balls_Faced,Fours,Sixes,Total_Boundaries,Strike_Rate_Calc,Wickets_Taken,Overs_Numeric,Economy_Rate,Dismissal_Type,Player_Role,Match_Date_Clean,Match_Month,Match_Year
72619,1,India,Australia,Sydney,T20,Williamson,Bumrah,141,96,5,2,32,146.88,6,,,Hit Wicket,,,,
82225,2,New Zealand,New Zealand,Melbourne,Test,Warner,Afridi,77,99,12,10,108,77.78,5,5.912401873,-0.85,Caught,Bowler,2021-05-10,2021-05,2021
88541,2,India,West Indies,Sydney,Test,Faf,Starc,-2,31,9,1,42,-6.45,4,,,Unknown,Batsman,2020-01-01,2020-01,2020
28768,1,New Zealand,Pakistan,Chennai,ODI,Faf,Southee,22,107,2,1,14,20.56,5,5.912401873,13.19,Stumped,All-Rounder,2020-01-01,2020-01,2020
75975,2,Sri Lanka,England,Sydney,Test,Smith,Bumrah,3,81,19,13,154,3.7,0,5.912401873,4.4,Bowled,Bowler,2020-01-01,2020-01,2020
21604,1,New Zealand,Australia,Johannesburg,T20,Kohli,Malinga,-8,35,20,3,98,-22.86,0,,,LBW,Bowler,2020-01-01,2020-01,2020
80739,1,Pakistan,Australia,,T20,Faf,Rabada,45,87,0,8,48,51.72,5,,,Caught,All-Rounder,2021-05-10,2021-05,2021
99278,1,Pakistan,Australia,Mumbai,ODI,Kohli,Rabada,69,127,2,10,68,54.33,5,,,Not Out,,,,
92220,2,Australia,Sri Lanka,Kolkata,ODI,Babar,Malinga,152,95,18,0,72,160,6,,,LBW,Bowler,2021-05-10,2021-05,2021
93282,2,Australia,New Zealand,Melbourne,ODI,Smith,Starc,134,8,1,2,16,1675,0,5.912401873,12.35,Stumped,,2021-05-10,2021-05,2021
45286,1,Sri Lanka,Sri Lanka,Kolkata,ODI,Nabi,Rabada,179,116,20,0,80,154.31,5,,,Run Out,Batsman,,,
20530,2,Afghanistan,England,Melbourne,T20,Warner,Joseph,133,78,14,0,56,170.51,1,5.912401873,7.61,Unknown,All-Rounder,2021-05-10,2021-05,2021
14580,2,Bangladesh,Australia,Auckland,Test,Kohli,Rashid,108,46,12,9,102,234.78,-1,,,LBW,All-Rounder,2021-05-10,2021-05,2021
55929,1,New Zealand,South Africa,Kolkata,Test,Smith,Bumrah,2,58,12,14,132,3.45,1,,,Caught,All-Rounder,,,
92595,2,New Zealand,Afghanistan,Delhi,Test,Smith,Malinga,96,9,22,6,124,1066.67,0,5.912401873,9.13,Unknown,All-Rounder,,,
17897,1,Sri Lanka,Sri Lanka,Melbourne,Test,Kohli,Woakes,1,129,14,7,98,0.78,5,,,Unknown,All-Rounder,,,
67990,1,England,Australia,Chennai,ODI,Kohli,Woakes,63,41,11,9,98,153.66,5,5.912401873,12.85,Unknown,All-Rounder,2020-01-01,2020-01,2020
71060,1,Afghanistan,New Zealand,Chennai,Test,Warner,Malinga,-1,102,1,2,16,-0.98,-1,,,Unknown,Batsman,,,
90598,2,Australia,West Indies,Sydney,ODI,Kohli,Malinga,41,105,0,0,0,39.05,-1,5.912401873,13.7,Run Out,Batsman,,,
20211,2,Pakistan,Bangladesh,London,ODI,Smith,Joseph,101,134,1,0,4,75.37,0,,,Unknown,,,,
16990,2,Australia,South Africa,Chennai,Test,Smith,Malinga,86,128,20,12,152,67.19,1,5.912401873,-0.85,Hit Wicket,Bowler,,,
35680,1,Sri Lanka,South Africa,Chennai,Test,Nabi,Bumrah,156,136,11,6,80,114.71,5,,,Not Out,,2020-01-01,2020-01,2020
34175,2,West Indies,Pakistan,Chennai,Test,Russell,Rashid,94,25,13,8,100,376,-1,,,LBW,All-Rounder,2021-05-10,2021-05,2021
91018,2,Sri Lanka,South Africa,,ODI,Babar,Shami,98,123,14,4,80,79.67,5,,,Unknown,Bowler,2020-01-01,2020-01,2020
23211,1,South Africa,South Africa,Chennai,ODI,Root,Malinga,158,56,5,0,20,282.14,5,,,Caught,All-Rounder,2020-01-01,2020-01,2020
94860,1,England,Afghanistan,Johannesburg,T20,Williamson,Afridi,145,21,9,11,102,690.48,5,5.912401873,7.61,Not Out,,,,
37358,1,India,Sri Lanka,Mumbai,T20,Williamson,Woakes,134,86,7,10,88,155.81,0,5.912401873,14.71,Run Out,Batsman,2020-01-01,2020-01,2020
34191,1,India,Australia,Melbourne,T20,Smith,Shami,-9,2,13,1,58,-450,-1,,,Stumped,All-Rounder,,,
79965,1,England,South Africa,Mumbai,ODI,Smith,Shami,66,138,24,3,114,47.83,4,,,Stumped,All-Rounder,,,
94041,1,Pakistan,Australia,Sydney,ODI,Root,Rabada,74,55,4,12,88,134.55,4,,,LBW,,,,
50385,2,South Africa,South Africa,Sydney,Test,Rohit,Shami,67,123,19,8,124,54.47,0,,,Bowled,,2021-05-10,2021-05,2021
35312,1,West Indies,Bangladesh,Johannesburg,T20,Rohit,Afridi,94,85,17,6,104,110.59,1,,,Caught,Batsman,,,
79717,1,Australia,South Africa,Delhi,T20,Nabi,Joseph,4,143,12,2,60,2.8,2,5.912401873,9.64,LBW,Batsman,,,
96849,2,Pakistan,England,Melbourne,ODI,Williamson,Woakes,23,97,10,13,118,23.71,6,,,LBW,,,,
19919,1,England,South Africa,Delhi,Test,Smith,Rabada,154,119,13,8,100,129.41,4,,,Bowled,Batsman,,,
88598,2,Bangladesh,Afghanistan,Melbourne,T20,Babar,Woakes,165,4,24,14,180,4125,2,5.912401873,4.4,Unknown,,,,
61699,1,India,India,Kolkata,T20,Rohit,Malinga,130,52,2,14,92,250,0,5.912401873,9.13,LBW,Batsman,2021-05-10,2021-05,2021
36536,2,India,Afghanistan,Delhi,T20,Kohli,Southee,159,71,0,2,12,223.94,1,5.912401873,16.07,Unknown,All-Rounder,,,
50364,2,West Indies,Australia,Johannesburg,T20,Warner,Bumrah,-4,65,8,1,38,-6.15,1,,,Unknown,All-Rounder,,,
79149,2,India,India,Chennai,Test,Root,Rashid,24,138,17,14,152,17.39,2,,,Run Out,,,,
95925,2,Pakistan,India,Auckland,ODI,Warner,Rashid,50,114,7,9,82,43.86,6,5.912401873,6.6,Run Out,All-Rounder,2021-05-10,2021-05,2021
14262,2,Bangladesh,India,Kolkata,ODI,Babar,Shami,104,104,19,10,136,100,-1,,,Unknown,Bowler,2021-05-10,2021-05,2021
44450,1,Pakistan,New Zealand,Johannesburg,Test,Babar,Rashid,172,44,23,5,122,390.91,5,5.912401873,0,Stumped,Batsman,,,
55486,2,South Africa,Sri Lanka,Auckland,T20,Smith,Southee,74,104,8,7,74,71.15,1,,,Bowled,Batsman,2020-01-01,2020-01,2020
71477,2,Australia,South Africa,Mumbai,T20,Babar,Joseph,94,114,18,7,114,82.46,2,,,Not Out,All-Rounder,2020-01-01,2020-01,2020
40308,2,West Indies,Pakistan,Sydney,T20,Nabi,Rashid,73,111,20,8,128,65.77,4,,,Unknown,All-Rounder,,,
23257,1,Afghanistan,Pakistan,Chennai,Test,Faf,Rashid,136,86,7,14,112,158.14,-1,5.912401873,2.2,Hit Wicket,All-Rounder,,,
84318,1,West Indies,Sri Lanka,Chennai,ODI,Rohit,Bumrah,138,64,23,4,116,215.62,1,,,Stumped,Batsman,2020-01-01,2020-01,2020
78548,1,England,Pakistan,Auckland,ODI,Babar,Rabada,178,73,3,5,42,243.84,3,5.912401873,16.07,Unknown,Batsman,2021-05-10,2021-05,2021
70145,1,Bangladesh,South Africa,Auckland,T20,Williamson,Rashid,7,133,17,14,152,5.26,4,5.912401873,16.41,Unknown,All-Rounder,,,
44282,1,West Indies,New Zealand,London,ODI,Russell,Starc,9,66,5,11,86,13.64,-1,,,Run Out,Bowler,2021-05-10,2021-05,2021
38514,1,England,South Africa,London,Test,Root,Afridi,90,28,21,13,162,321.43,6,,,Unknown,Batsman,,,
27155,2,India,Sri Lanka,Auckland,Test,Faf,Southee,51,78,22,4,112,65.38,6,5.912401873,13.36,Run Out,Bowler,,,
75408,1,Australia,New Zealand,Kolkata,Test,Smith,Shami,20,86,4,1,22,23.26,2,5.912401873,9.47,Not Out,Batsman,2021-05-10,2021-05,2021
82144,1,Bangladesh,New Zealand,Kolkata,Test,Babar,Woakes,10,48,16,7,106,20.83,1,,,Stumped,All-Rounder,2021-05-10,2021-05,2021
64868,2,India,New Zealand,Mumbai,T20,Faf,Rashid,37,7,0,9,54,528.57,5,,,LBW,All-Rounder,2020-01-01,2020-01,2020
36005,2,Sri Lanka,England,Chennai,T20,Smith,Bumrah,69,88,15,8,108,78.41,4,,,Stumped,,,,
21451,1,Australia,New Zealand,London,ODI,Warner,Woakes,-4,101,16,11,130,-3.96,2,,,Caught,,,,
45875,2,England,West Indies,Melbourne,Test,Kohli,Starc,30,51,19,10,136,58.82,6,,,Stumped,Bowler,,,
98933,1,Pakistan,Australia,Sydney,ODI,Smith,Starc,93,125,22,7,130,74.4,2,,,Run Out,,2020-01-01,2020-01,2020
95896,1,England,England,Chennai,Test,Russell,Bumrah,96,11,13,7,94,872.73,6,,,Run Out,,2020-01-01,2020-01,2020
78973,2,Pakistan,England,Sydney,ODI,Root,Woakes,21,128,7,9,82,16.41,3,5.912401873,5.58,Hit Wicket,Batsman,2020-01-01,2020-01,2020
24838,1,South Africa,England,,ODI,Babar,Woakes,-4,3,0,5,30,-133.33,4,,,Unknown,Batsman,2021-05-10,2021-05,2021
88700,2,New Zealand,New Zealand,London,Test,Root,Malinga,29,102,20,14,164,28.43,3,5.912401873,12.35,Unknown,Bowler,,,
49885,1,South Africa,Australia,London,ODI,Rohit,Southee,65,119,4,14,100,54.62,5,,,Hit Wicket,All-Rounder,,,
51049,1,West Indies,West Indies,,ODI,Williamson,Woakes,169,104,6,8,72,162.5,5,,,Run Out,Batsman,,,
36243,1,Afghanistan,South Africa,Melbourne,ODI,Rohit,Bumrah,106,96,0,13,78,110.42,1,5.912401873,0.51,Caught,Bowler,2020-01-01,2020-01,2020
45122,2,West Indies,England,Mumbai,Test,Williamson,Malinga,106,12,7,12,100,883.33,-1,5.912401873,1.86,Bowled,,2021-05-10,2021-05,2021
32438,1,New Zealand,Bangladesh,Mumbai,T20,Nabi,Rashid,47,146,3,13,90,32.19,2,,,LBW,,2021-05-10,2021-05,2021
18297,2,New Zealand,Sri Lanka,Mumbai,ODI,Williamson,Bumrah,-10,19,13,10,112,-52.63,6,,,Stumped,All-Rounder,2020-01-01,2020-01,2020
67011,1,West Indies,South Africa,London,ODI,Faf,Rabada,173,116,10,14,124,149.14,3,,,Unknown,All-Rounder,,,
94170,1,Sri Lanka,New Zealand,London,ODI,Warner,Rashid,23,67,23,11,158,34.33,2,,,LBW,All-Rounder,,,
31814,2,New Zealand,India,London,Test,Rohit,Starc,43,117,23,1,98,36.75,6,5.912401873,15.22,Caught,All-Rounder,,,
28027,2,West Indies,New Zealand,Chennai,T20,Russell,Rabada,-2,22,12,6,84,-9.09,6,5.912401873,6.26,Stumped,Batsman,,,
64302,2,Sri Lanka,Afghanistan,Johannesburg,Test,Russell,Southee,177,126,17,13,146,140.48,4,5.912401873,0.17,Bowled,Batsman,2021-05-10,2021-05,2021
53911,2,Bangladesh,Bangladesh,,Test,Babar,Shami,10,138,3,14,96,7.25,2,,,Not Out,Bowler,2020-01-01,2020-01,2020
22143,1,Afghanistan,Afghanistan,Delhi,Test,Faf,Starc,72,30,18,5,102,240,5,5.912401873,15.73,Run Out,,2020-01-01,2020-01,2020
89502,2,South Africa,New Zealand,Johannesburg,Test,Warner,Afridi,84,40,17,14,152,210,3,5.912401873,10.32,Run Out,,,,
58192,2,Bangladesh,Pakistan,Auckland,Test,Rohit,Bumrah,150,56,12,3,66,267.86,4,,,Not Out,Batsman,,,
72190,2,Afghanistan,India,Kolkata,Test,Williamson,Rashid,145,29,3,10,72,500,6,,,Unknown,Bowler,,,
59929,2,India,West Indies,,T20,Babar,Starc,167,107,13,9,106,156.07,0,5.912401873,15.73,Unknown,Bowler,2020-01-01,2020-01,2020
20839,2,Sri Lanka,South Africa,,Test,Russell,Afridi,107,95,3,10,72,112.63,5,,,Caught,Batsman,2021-05-10,2021-05,2021
90206,1,Australia,India,Kolkata,Test,Warner,Afridi,10,99,14,9,110,10.1,3,,,Hit Wicket,,2021-05-10,2021-05,2021
67200,2,England,England,Mumbai,T20,Root,Bumrah,172,81,11,2,56,212.35,5,5.912401873,7.1,Hit Wicket,All-Rounder,,,
29631,1,Bangladesh,Afghanistan,Auckland,T20,Williamson,Joseph,27,135,20,6,116,20,3,,,Unknown,All-Rounder,,,
92389,2,England,Bangladesh,London,T20,Kohli,Bumrah,120,61,19,5,106,196.72,5,5.912401873,7.78,Stumped,Batsman,,,
47911,1,Afghanistan,West Indies,Chennai,Test,Nabi,Bumrah,128,120,6,5,54,106.67,6,,,Hit Wicket,Batsman,,,
15065,1,Sri Lanka,New Zealand,Auckland,T20,Kohli,Woakes,92,133,0,0,0,69.17,2,,,Caught,All-Rounder,2020-01-01,2020-01,2020
52646,2,New Zealand,Australia,Mumbai,Test,Rohit,Afridi,99,63,16,8,112,157.14,4,5.912401873,3.21,Run Out,Batsman,2020-01-01,2020-01,2020
19540,2,England,New Zealand,Auckland,Test,Root,Woakes,42,46,13,6,88,91.3,-1,5.912401873,-1.69,Bowled,Bowler,,,
86576,2,England,South Africa,Melbourne,ODI,Warner,Joseph,24,70,2,12,80,34.29,2,,,Hit Wicket,Batsman,2021-05-10,2021-05,2021
48947,2,West Indies,Sri Lanka,Johannesburg,Test,Williamson,Shami,74,79,5,10,80,93.67,2,,,Stumped,Bowler,2021-05-10,2021-05,2021
94199,1,South Africa,West Indies,Auckland,ODI,Williamson,Southee,148,65,5,4,44,227.69,3,,,LBW,All-Rounder,2021-05-10,2021-05,2021
76881,1,Sri Lanka,Afghanistan,Johannesburg,ODI,Faf,Shami,-3,42,20,0,80,-7.14,2,,,Bowled,Batsman,,,
94907,2,Australia,Afghanistan,Sydney,T20,Root,Afridi,149,56,5,9,74,266.07,2,,,Bowled,,2021-05-10,2021-05,2021
86990,1,Afghanistan,New Zealand,Melbourne,ODI,Warner,Woakes,12,88,21,10,144,13.64,-1,,,Caught,All-Rounder,,,
11196,2,Sri Lanka,South Africa,Melbourne,ODI,Faf,Starc,90,89,13,1,58,101.12,0,,,Caught,Batsman,2021-05-10,2021-05,2021
73460,2,Bangladesh,England,Kolkata,ODI,Kohli,Joseph,-8,89,24,1,102,-8.99,0,5.912401873,2.88,LBW,Batsman,,,
40328,2,Pakistan,England,Kolkata,Test,Faf,Bumrah,127,119,12,4,72,106.72,5,5.912401873,-1.35,Stumped,All-Rounder,2020-01-01,2020-01,2020
71303,1,India,South Africa,Chennai,T20,Nabi,Rashid,46,17,0,5,30,270.59,0,5.912401873,9.98,Run Out,,,,
32193,1,Afghanistan,Pakistan,Delhi,T20,Smith,Malinga,140,147,7,12,100,95.24,0,5.912401873,-1.52,Run Out,Bowler,2021-05-10,2021-05,2021
52818,1,Pakistan,Australia,Kolkata,T20,Kohli,Malinga,156,125,5,8,68,124.8,2,,,Hit Wicket,Bowler,,,
53862,2,South Africa,Australia,Auckland,Test,Kohli,Bumrah,112,56,21,7,126,200,1,5.912401873,1.69,Caught,Batsman,2021-05-10,2021-05,2021
41460,2,South Africa,England,Melbourne,T20,Rohit,Joseph,32,99,12,6,84,32.32,6,5.912401873,12.52,Unknown,Bowler,2020-01-01,2020-01,2020
20368,1,Australia,Bangladesh,Johannesburg,Test,Faf,Starc,157,103,5,14,104,152.43,4,,,Run Out,Bowler,2021-05-10,2021-05,2021
75265,1,Bangladesh,South Africa,,T20,Warner,Rabada,27,128,22,14,172,21.09,1,,,Hit Wicket,Bowler,2020-01-01,2020-01,2020
13910,1,Australia,South Africa,Kolkata,T20,Rohit,Malinga,166,73,6,9,78,227.4,2,,,Hit Wicket,Bowler,2020-01-01,2020-01,2020
92935,1,India,South Africa,Melbourne,T20,Babar,Woakes,161,107,20,6,116,150.47,2,,,Bowled,,,,
57042,2,South Africa,Australia,Johannesburg,ODI,Russell,Joseph,-7,94,22,3,106,-7.45,6,5.912401873,13.7,Hit Wicket,,,,
95074,2,Sri Lanka,New Zealand,,ODI,Kohli,Afridi,45,7,10,1,46,642.86,4,,,Unknown,Bowler,2020-01-01,2020-01,2020
31341,2,Bangladesh,India,Kolkata,Test,Root,Woakes,0,47,17,14,152,0,0,5.912401873,3.55,Bowled,,,,
84888,2,Pakistan,Pakistan,Johannesburg,ODI,Kohli,Afridi,128,116,2,0,8,110.34,2,,,Stumped,Bowler,2020-01-01,2020-01,2020
25970,1,India,Bangladesh,Kolkata,Test,Faf,Joseph,176,70,17,7,110,251.43,6,5.912401873,16.58,Unknown,Bowler,,,
26546,2,South Africa,West Indies,Chennai,Test,Warner,Southee,165,39,24,3,114,423.08,3,,,Hit Wicket,,,,
40860,2,England,New Zealand,Kolkata,ODI,Russell,Rashid,136,83,16,9,118,163.86,-1,,,Stumped,Batsman,2021-05-10,2021-05,2021
31145,1,India,Afghanistan,Sydney,ODI,Faf,Afridi,-7,2,4,10,76,-350,-1,5.912401873,4.57,Hit Wicket,Bowler,2021-05-10,2021-05,2021
47042,2,Sri Lanka,New Zealand,London,T20,Smith,Bumrah,20,10,12,14,132,200,4,5.912401873,0,Hit Wicket,All-Rounder,2021-05-10,2021-05,2021
45992,1,West Indies,Pakistan,Chennai,T20,Rohit,Malinga,98,57,20,1,86,171.93,6,,,Unknown,Batsman,,,
83510,2,West Indies,Sri Lanka,Delhi,Test,Russell,Rabada,25,120,0,12,72,20.83,3,,,Bowled,Bowler,,,
22746,1,Pakistan,South Africa,,T20,Rohit,Rashid,40,105,0,5,30,38.1,5,,,Stumped,Bowler,,,
81133,2,Bangladesh,India,London,T20,Rohit,Joseph,39,105,5,2,32,37.14,-1,,,Run Out,Bowler,,,
41284,1,India,West Indies,Melbourne,Test,Warner,Joseph,44,45,12,14,132,97.78,5,,,Hit Wicket,Bowler,,,
97613,2,Pakistan,Bangladesh,Delhi,Test,Faf,Southee,120,11,2,14,92,1090.91,6,,,LBW,All-Rounder,2021-05-10,2021-05,2021
24440,1,Pakistan,Afghanistan,Kolkata,ODI,Rohit,Shami,-1,105,23,12,164,-0.95,5,,,Bowled,Bowler,2021-05-10,2021-05,2021
55022,1,Australia,India,Chennai,Test,Babar,Woakes,96,7,16,14,148,1371.43,1,,,Caught,All-Rounder,,,
76759,1,Bangladesh,India,,Test,Nabi,Joseph,72,142,13,1,58,50.7,5,,,Not Out,Bowler,,,
94282,1,Bangladesh,West Indies,London,Test,Nabi,Starc,-10,48,18,6,108,-20.83,0,,,Stumped,Batsman,2021-05-10,2021-05,2021
71845,2,Sri Lanka,Australia,Mumbai,ODI,Williamson,Malinga,162,45,8,3,50,360,1,,,Bowled,All-Rounder,2021-05-10,2021-05,2021
84405,1,Pakistan,Pakistan,Auckland,ODI,Nabi,Bumrah,88,39,13,12,124,225.64,1,5.912401873,0.51,LBW,Batsman,,,
16871,2,South Africa,India,Kolkata,T20,Babar,Malinga,66,19,7,4,52,347.37,3,5.912401873,13.02,Caught,Batsman,2020-01-01,2020-01,2020
53294,2,South Africa,Afghanistan,Sydney,T20,Nabi,Southee,169,129,0,5,30,131.01,3,5.912401873,4.57,Hit Wicket,Batsman,,,
66112,1,India,England,Melbourne,T20,Root,Rashid,150,5,16,6,100,3000,5,,,Not Out,,,,
30403,2,New Zealand,New Zealand,Kolkata,ODI,Babar,Starc,62,127,6,6,60,48.82,0,,,Unknown,Bowler,2020-01-01,2020-01,2020
29312,2,Sri Lanka,England,Melbourne,ODI,Warner,Shami,87,77,19,3,94,112.99,4,5.912401873,14.38,Hit Wicket,Bowler,2021-05-10,2021-05,2021
75901,1,Pakistan,Pakistan,Auckland,Test,Babar,Woakes,72,88,16,11,130,81.82,3,,,Hit Wicket,,,,
39912,2,England,West Indies,,Test,Kohli,Bumrah,132,101,12,7,90,130.69,-1,5.912401873,1.86,Not Out,Bowler,,,
44783,2,Bangladesh,England,Auckland,ODI,Faf,Joseph,13,36,18,3,90,36.11,-1,,,Unknown,Batsman,,,
28172,1,Australia,South Africa,Mumbai,Test,Warner,Malinga,90,121,12,3,66,74.38,-1,,,Hit Wicket,,,,
37353,2,India,Bangladesh,Mumbai,ODI,Kohli,Malinga,51,58,24,7,138,87.93,4,,,Run Out,Bowler,,,
47987,2,Sri Lanka,South Africa,Kolkata,T20,Babar,Malinga,74,63,14,12,128,117.46,-1,,,Run Out,Bowler,,,
39206,2,England,Sri Lanka,Auckland,T20,Russell,Joseph,22,16,15,8,108,137.5,3,,,Not Out,Bowler,2021-05-10,2021-05,2021
74493,1,England,Afghanistan,Chennai,T20,Rohit,Starc,84,126,12,5,78,66.67,4,5.912401873,1.35,Not Out,All-Rounder,2020-01-01,2020-01,2020
90154,1,New Zealand,New Zealand,London,T20,Kohli,Southee,52,65,22,1,94,80,1,,,Run Out,Bowler,,,
46852,1,England,Bangladesh,Delhi,ODI,Root,Bumrah,11,11,22,10,148,100,4,,,Run Out,Bowler,,,
40850,2,West Indies,New Zealand,Melbourne,ODI,Root,Bumrah,144,17,3,11,78,847.06,-1,5.912401873,10.66,Hit Wicket,All-Rounder,,,
75639,1,Australia,Sri Lanka,Sydney,Test,Kohli,Malinga,108,61,15,9,114,177.05,6,,,Hit Wicket,All-Rounder,2020-01-01,2020-01,2020
17706,1,India,Bangladesh,Chennai,ODI,Russell,Southee,136,15,13,7,94,906.67,6,,,Caught,Bowler,2021-05-10,2021-05,2021
45517,1,Sri Lanka,South Africa,Sydney,ODI,Root,Joseph,0,132,17,9,122,0,6,5.912401873,11.84,LBW,Batsman,2020-01-01,2020-01,2020
41501,2,Sri Lanka,Bangladesh,Sydney,ODI,Root,Rabada,2,23,19,8,124,8.7,0,,,Stumped,Batsman,2020-01-01,2020-01,2020
97771,2,West Indies,Australia,Auckland,ODI,Smith,Joseph,60,74,24,8,144,81.08,2,5.912401873,0.68,Not Out,All-Rounder,2020-01-01,2020-01,2020
94651,1,South Africa,New Zealand,Johannesburg,T20,Russell,Malinga,13,45,7,7,70,28.89,1,5.912401873,0.34,LBW,All-Rounder,2021-05-10,2021-05,2021
54007,1,England,New Zealand,Johannesburg,T20,Russell,Bumrah,163,41,21,12,156,397.56,-1,,,Caught,All-Rounder,,,
65498,2,Afghanistan,Sri Lanka,Chennai,T20,Smith,Malinga,142,87,4,1,22,163.22,6,5.912401873,-0.51,Caught,Batsman,2020-01-01,2020-01,2020
57155,1,Australia,Sri Lanka,Sydney,Test,Williamson,Rashid,100,77,1,12,76,129.87,3,5.912401873,10.15,Run Out,,,,
22755,1,Bangladesh,Pakistan,Delhi,T20,Rohit,Afridi,168,99,8,4,56,169.7,5,,,Unknown,Bowler,,,
21681,2,South Africa,West Indies,Auckland,T20,Root,Joseph,52,128,10,1,46,40.62,1,,,Run Out,Bowler,2021-05-10,2021-05,2021
73484,2,Australia,England,Sydney,ODI,Smith,Joseph,154,89,17,0,68,173.03,-1,,,Stumped,Batsman,2021-05-10,2021-05,2021
43682,2,New Zealand,West Indies,Mumbai,ODI,Kohli,Bumrah,139,25,7,12,100,556,3,,,LBW,Bowler,2020-01-01,2020-01,2020
48904,2,Bangladesh,West Indies,Delhi,T20,Russell,Starc,11,67,14,3,74,16.42,0,5.912401873,8.29,Hit Wicket,,,,
29947,1,England,England,,Test,Root,Starc,-8,89,20,6,116,-8.99,0,5.912401873,8.63,Stumped,Batsman,,,
31696,1,India,England,Delhi,T20,Smith,Starc,170,131,2,13,86,129.77,2,5.912401873,5.07,Stumped,Bowler,2021-05-10,2021-05,2021
36756,2,South Africa,India,,T20,Warner,Rashid,13,95,21,14,168,13.68,6,5.912401873,3.04,Bowled,,,,
83912,1,Bangladesh,Sri Lanka,Kolkata,T20,Babar,Rabada,71,143,11,0,44,49.65,6,5.912401873,-1.35,Bowled,All-Rounder,2020-01-01,2020-01,2020
93093,2,South Africa,Bangladesh,Sydney,ODI,Babar,Malinga,39,100,2,2,20,39,6,5.912401873,2.88,Not Out,All-Rounder,2020-01-01,2020-01,2020
65553,2,England,Sri Lanka,London,Test,Smith,Starc,165,83,4,4,40,198.8,6,,,Bowled,Batsman,2021-05-10,2021-05,2021
17624,2,Sri Lanka,Sri Lanka,Mumbai,Test,Root,Starc,40,80,18,9,126,50,5,,,Unknown,Batsman,,,
86523,2,Afghanistan,South Africa,Mumbai,ODI,Smith,Rabada,17,95,6,11,90,17.89,2,5.912401873,6.6,Not Out,All-Rounder,2021-05-10,2021-05,2021
76950,2,Sri Lanka,Sri Lanka,Johannesburg,T20,Rohit,Southee,156,127,10,12,112,122.83,6,5.912401873,3.55,LBW,Batsman,2020-01-01,2020-01,2020
43044,2,South Africa,Afghanistan,Sydney,Test,Root,Southee,63,111,19,8,124,56.76,2,,,Run Out,Batsman,,,
87370,1,Australia,Pakistan,Mumbai,Test,Williamson,Malinga,87,10,7,8,76,870,4,5.912401873,1.52,LBW,Batsman,2021-05-10,2021-05,2021
